Hectares,MUNIC_CD,MUNIC_NOME,Polo_Nome,Polo_Tipo,UF,UGRH_ID,UGRH_Nome,din_class,din_classF,latitude,longitude
194.67231884,5107925,Sorriso,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,DLC,SAFRA DUPLA (LONGA),-11.946732147846108,-55.865904239076876
162.86216944,5107925,Sorriso,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,DLC,SAFRA DUPLA (LONGA),-11.935917130745052,-55.84991616176467
159.93756757,5107925,Sorriso,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,DLC,SAFRA DUPLA (LONGA),-11.939898296916619,-55.838064766499976
101.42652545,5107925,Sorriso,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,WC,SAFRA DUPLA (INVERNO),-12.130242673159051,-55.84537116631814
147.01953492,5107925,Sorriso,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,Indefinido,INDEFINIDO,-12.136765369244399,-55.86173047071107
34.45731869,5107925,Sorriso,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,TC,SAFRA TRIPLA,-12.126162405424196,-55.801569788999956
138.56775821,5104526,Ipiranga do Norte,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,DLC,SAFRA DUPLA (LONGA),-12.082184578868373,-56.23905187042102
136.32972946,5104526,Ipiranga do Norte,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,SC,SAFRA SIMPLES,-12.073288845499954,-56.23105043168417
92.76613049,5104526,Ipiranga do Norte,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,DLC,SAFRA DUPLA (LONGA),-12.37874755960461,-56.216758765883675
113.71274222,5108501,Vera,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,TC,SAFRA TRIPLA,-12.569604580964244,-55.46049812342853
112.17920623,5108501,Vera,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,WC,SAFRA DUPLA (INVERNO),-12.578740971714236,-55.45424306257137
105.30096517,5108501,Vera,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,TC,SAFRA TRIPLA,-12.5781614634444,-55.44418947940736
179.28693626,5107925,Sorriso,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,TC,SAFRA TRIPLA,-12.363512396818134,-55.94415965565906
189.3576577,5107925,Sorriso,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,TC,SAFRA TRIPLA,-12.359970144190433,-55.92982746690471
124.32565889,5107925,Sorriso,Alto Teles Pires,Pivô Central,MT,40,Tapajós e Interbacias Tapajós-Madeira,TC,SAFRA TRIPLA,-12.67882252211107,-55.52852408651848
