"","fid","min","firstqu","median","mean","trirdqu","max","band"
"1","S2.16D_V2_028022_20230101_B01",2,308,408,840,674,15586,"B01"
"2","S2.16D_V2_028022_20221219_B01",4,743,1652,3347,4833,20544,"B01"
"3","S2.16D_V2_028022_20221203_B01",6,760,1518,3350,4683,21834,"B01"
"4","S2.16D_V2_028022_20221117_B01",21,533,833,2007,2445,16686,"B01"
"5","S2.16D_V2_028022_20221101_B01",6,306,407,568.1,599,13529,"B01"
"6","S2.16D_V2_028022_20221016_B01",26,414,517,603.4,667,11968,"B01"
"7","S2.16D_V2_028022_20220930_B01",2,415,516,552.4,648,4631,"B01"
"8","S2.16D_V2_028022_20220914_B01",19,411,531,574.9,703,4538,"B01"
"9","S2.16D_V2_028022_20220829_B01",62,321,416,456.7,550,3344,"B01"
"10","S2.16D_V2_028022_20220813_B01",49,296,390,427.8,517,3506,"B01"
"11","S2.16D_V2_028022_20220728_B01",63,271,344,379.2,447,3479,"B01"
"12","S2.16D_V2_028022_20220712_B01",2,196,269,300,365,3491,"B01"
"13","S2.16D_V2_028022_20220626_B01",2,184,258,286.7,352,3631,"B01"
"14","S2.16D_V2_028022_20220610_B01",2,200,271,299.2,360,3834,"B01"
"15","S2.16D_V2_028022_20220525_B01",1,200,269,296.8,353,4019,"B01"
"16","S2.16D_V2_028022_20220509_B01",19,230,288,320,366,3931,"B01"
"17","S2.16D_V2_028022_20220423_B01",22,224,284,325.8,368,12960,"B01"
"18","S2.16D_V2_028022_20220407_B01",16,246,314,392.6,422,13656,"B01"
"19","S2.16D_V2_028022_20220322_B01",62,242,299,339.3,382,5430,"B01"
"20","S2.16D_V2_028022_20220306_B01",4,376,484,1023,822,16348,"B01"
"21","S2.16D_V2_028022_20220218_B01",12,310,391,708.2,594,11703,"B01"
"22","S2.16D_V2_028022_20220202_B01",1,1491,6395,6956,11262,24438,"B01"
"23","S2.16D_V2_028022_20220117_B01",1,292,413,812.9,725,13632,"B01"
"24","S2.16D_V2_028022_20220101_B01",1,535,1522,2980,4838,16530,"B01"
"25","S2.16D_V2_028022_20230101_B02",1,337,457,873.5,714,14497,"B02"
"26","S2.16D_V2_028022_20221219_B02",11,680,1520,3110,4537,19336,"B02"
"27","S2.16D_V2_028022_20221203_B02",11,718,1428,3116,4364,20328,"B02"
"28","S2.16D_V2_028022_20221117_B02",15,500,803,1913,2297,16625,"B02"
"29","S2.16D_V2_028022_20221101_B02",23,366,492,650.8,698,15546,"B02"
"30","S2.16D_V2_028022_20221016_B02",40,436,582,679.8,792,13726,"B02"
"31","S2.16D_V2_028022_20220930_B02",21,479,612,662.4,796,11368,"B02"
"32","S2.16D_V2_028022_20220914_B02",30,468,619,669.9,811,11501,"B02"
"33","S2.16D_V2_028022_20220829_B02",31,416,556,619.5,762,9200,"B02"
"34","S2.16D_V2_028022_20220813_B02",81,389,525,585.8,722,7280,"B02"
"35","S2.16D_V2_028022_20220728_B02",61,314,431,487.8,602,5642,"B02"
"36","S2.16D_V2_028022_20220712_B02",45,286,397,448.3,555,6058,"B02"
"37","S2.16D_V2_028022_20220626_B02",15,266,371,418.9,519,6124,"B02"
"38","S2.16D_V2_028022_20220610_B02",18,236,335,379.4,469,6208,"B02"
"39","S2.16D_V2_028022_20220525_B02",12,231,328,371.6,455,6259,"B02"
"40","S2.16D_V2_028022_20220509_B02",44,262,349,393,464,6343,"B02"
"41","S2.16D_V2_028022_20220423_B02",38,246,329,382.6,442,12251,"B02"
"42","S2.16D_V2_028022_20220407_B02",73,304,394,478.7,519,14764,"B02"
"43","S2.16D_V2_028022_20220322_B02",79,262,346,399.5,460,9612,"B02"
"44","S2.16D_V2_028022_20220306_B02",13,384,510,1016,840,15549,"B02"
"45","S2.16D_V2_028022_20220218_B02",18,334,441,750.8,649,11761,"B02"
"46","S2.16D_V2_028022_20220202_B02",6,1422,5931,6406,10332,22376,"B02"
"47","S2.16D_V2_028022_20220117_B02",1,325,451,823.7,748,14265,"B02"
"48","S2.16D_V2_028022_20220101_B02",1,541,1416,2841,4659,16559,"B02"
"49","S2.16D_V2_028022_20230101_B03",54,544,706,1075,1018,13416,"B03"
"50","S2.16D_V2_028022_20221219_B03",6,899,1655,3053,4308,18073,"B03"
